Time..Sample,Site..Tank,F-value.1,F-value.2,Chlorophyll.1.ug..L,Chlorophyll.2.ug..L,Volume.ml
Sierra Longterm,Polly Dome 2,39.2,40,1.63,1.67,240
Sierra Longterm,Granite 1,27.6,27.3,0.92,0.91,300
Sierra Longterm,Granite 2,29.4,31.1,0.98,1.04,300
Sierra Longterm,Cathedral Lower,28.2,28.7,0.94,0.96,300
Sierra Longterm,Cathedral Upper,36.6,39.6,1.53,1.65,240
Sierra Longterm,Steelhead,34.6,34.3,0.72,0.71,480
Sierra Longterm,Wasco,34.2,34.4,1.14,1.15,300
Sierra Longterm,Sunrise 2 repeat,238.2,238.3,4.76,4.77,500
Sierra Longterm,Sunrise 3 repeat,29.3,29.8,0.59,0.6,500
Sierra Longterm,Blue AA,19.6,19.5,0.36,0.36,540
Sierra.Longterm,Convict Lake,11,10.8,0.26,0.26,420
Sierra.Longterm,Eastern Brook Lake,11.9,12,0.4,0.4,300
Sierra.Longterm,Serene Lake,39.4,39.9,1.31,1.33,300
Sierra.Longterm,Cooney Lake ,19,19.1,0.45,0.45,420
Sierra.Longterm,Blue Lake ,20.3,20.4,0.34,0.34,600
Sierra.Longterm,Virginia Lake ,28.1,29.4,0.67,0.7,420
Sierra.Longterm,May Lake ,11.9,12.2,0.2,0.2,600
Sierra.Longterm,Helen Lake,30.4,30.6,0.72,0.73,420
Sierra.Longterm,Spillway Lake,34,35,0.8,0.83,420
Sierra.Longterm,Gardisky Lake,61,62.1,0.69,0.69,900
Sierra.Longterm,Elizabeth,24.7,24.9,0.41,0.41,600
